"","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","score"
"1",2,2,1,2,3,2,2,2,4,5,1
"2",2,0,1,1,1,1,0,0,3,1,-2
"3",0,0,0,1,0,1,0,0,1,0,-1
"4",0,0,0,1,0,0,0,0,0,0,0
"5",0,0,1,1,0,2,0,0,2,0,-2
"6",1,0,1,1,0,2,0,0,2,1,-1
"7",2,3,3,1,5,2,2,4,3,6,3
"8",0,2,0,2,2,3,0,5,3,5,2
"9",0,3,0,0,0,1,0,2,1,2,1
"10",1,1,0,0,5,2,1,3,2,7,5
"11",0,5,0,2,3,1,2,3,3,5,2
"12",1,6,1,3,5,2,1,5,5,9,4
"13",0,0,0,1,0,0,0,0,0,1,1
"14",1,7,0,1,7,2,5,7,2,19,17
"15",0,0,0,0,2,0,0,1,0,2,2
"16",0,1,0,0,1,0,1,0,0,3,3
"17",1,5,0,0,5,1,2,9,3,13,10
"18",0,0,0,0,1,1,0,0,2,1,-1
"19",1,2,1,0,1,2,1,1,2,2,0
"20",5,7,1,2,5,5,4,8,9,19,10
"21",1,4,0,1,2,3,1,3,3,6,3
"22",1,4,0,0,4,0,1,2,2,5,3
"23",1,1,1,0,2,1,1,2,1,2,1
"24",1,5,0,2,2,3,1,3,5,4,-1
"25",0,1,0,0,1,1,1,1,3,1,-2
"26",0,0,0,1,1,1,0,0,1,1,0
"27",1,2,0,1,2,2,0,2,2,3,1
"28",1,2,0,0,3,2,1,2,4,7,3
"29",4,3,3,1,2,4,1,6,3,5,2
"30",0,1,0,2,1,1,0,3,2,4,2
"31",1,5,0,2,7,2,2,5,3,11,8
"32",4,7,2,4,7,3,4,8,5,14,9
"33",1,1,1,0,1,1,1,1,1,1,0
"34",1,2,0,1,1,3,0,2,3,2,-1
"35",4,8,5,6,6,9,5,9,14,20,6
"36",0,1,0,1,2,1,0,1,3,2,-1
"37",3,2,1,2,2,2,2,1,3,6,3
"38",0,1,0,1,1,0,1,3,0,4,4
"39",1,3,0,0,2,1,1,4,4,4,0
"40",3,3,0,2,2,3,2,1,3,3,0
"41",1,2,0,0,3,1,1,3,1,4,3
"42",2,5,0,0,3,2,2,5,5,13,8
"43",1,2,0,0,2,1,1,2,2,5,3
"44",1,0,0,0,1,1,0,0,1,2,1
"45",7,5,8,3,6,3,3,15,17,25,8
"46",0,0,0,0,0,0,0,0,0,1,1
"47",1,4,0,1,1,1,1,1,4,5,1
"48",2,5,1,2,4,4,1,3,4,6,2
"49",2,1,1,2,2,4,0,3,4,5,1
"50",1,1,0,2,1,1,0,1,2,1,-1
